6000.530000   -2.189480e-02
6000.050000   -1.668560e-02
5999.570000   -1.842720e-02
5999.090000   -2.117710e-02
5998.600000   -1.802380e-02
5998.120000   -1.909370e-02
5997.640000   -2.230570e-02
5997.160000   -1.641670e-02
5996.670000   -1.591520e-02
5996.190000   -1.442960e-02
5995.710000   -8.603340e-03
5995.230000   -1.559370e-02
5994.750000   -2.129700e-02
5994.260000   -2.177610e-02
5993.780000   -2.224850e-02
5993.300000   -2.064850e-02
5992.820000   -2.077450e-02
5992.330000   -2.028990e-02
5991.850000   -2.162140e-02
5991.370000   -2.094530e-02
5990.890000   -1.856690e-02
5990.410000   -2.010270e-02
5989.920000   -1.949940e-02
5989.440000   -1.573750e-02
5988.960000   -1.985140e-02
5988.480000   -2.564170e-02
5988.000000   -1.975710e-02
5987.510000   -1.904690e-02
5987.030000   -1.829460e-02
5986.550000   -1.416110e-02
5986.070000   -1.675030e-02
5985.580000   -1.896170e-02
5985.100000   -1.712810e-02
5984.620000   -1.603840e-02
5984.140000   -2.387740e-02
5983.660000   -1.837780e-02
5983.170000   -8.785080e-03
5982.690000   -1.296320e-02
5982.210000   -2.143090e-02
5981.730000   -2.099670e-02
5981.240000   -1.562520e-02
5980.760000   -1.692880e-02
5980.280000   -1.893000e-02
5979.800000   -2.364050e-02
5979.320000   -2.135220e-02
5978.830000   -1.628910e-02
5978.350000   -1.643240e-02
5977.870000   -1.428150e-02
5977.390000   -1.649640e-02
5976.900000   -1.681240e-02
5976.420000   -1.392450e-02
5975.940000   -1.431990e-02
5975.460000   -1.654800e-02
5974.980000   -1.893670e-02
5974.490000   -1.772770e-02
5974.010000   -1.567830e-02
5973.530000   -1.729020e-02
5973.050000   -2.008540e-02
5972.560000   -1.762510e-02
5972.080000   -1.560920e-02
5971.600000   -1.569480e-02
5971.120000   -2.019880e-02
5970.640000   -2.837590e-02
5970.150000   -3.065860e-02
5969.670000   -2.289000e-02
5969.190000   -1.846840e-02
5968.710000   -2.026810e-02
5968.220000   -2.090670e-02
5967.740000   -2.749260e-02
5967.260000   -2.718760e-02
5966.780000   -1.836160e-02
5966.300000   -1.516500e-02
5965.810000   -1.445780e-02
5965.330000   -1.621630e-02
5964.850000   -1.689070e-02
5964.370000   -1.377700e-02
5963.880000   -1.195070e-02
5963.400000   -1.678240e-02
5962.920000   -1.772440e-02
5962.440000   -1.891840e-02
5961.960000   -1.969670e-02
5961.470000   -1.300000e-02
5960.990000   -1.118370e-02
5960.510000   -1.366820e-02
5960.030000   -1.575100e-02
5959.540000   -1.321890e-02
5959.060000   -1.455120e-02
5958.580000   -1.942780e-02
5958.100000   -1.956200e-02
5957.620000   -1.806200e-02
5957.130000   -2.043090e-02
5956.650000   -2.115970e-02
5956.170000   -1.440160e-02
5955.690000   -1.881080e-02
5955.210000   -2.501550e-02
5954.720000   -1.762340e-02
5954.240000   -1.627400e-02
5953.760000   -1.518770e-02
5953.280000   -1.660030e-02
5952.790000   -2.098070e-02
5952.310000   -1.603890e-02
5951.830000   -1.446040e-02
5951.350000   -1.382570e-02
5950.870000   -1.234850e-02
5950.380000   -1.918830e-02
5949.900000   -1.845050e-02
5949.420000   -1.474250e-02
5948.940000   -2.104910e-02
5948.450000   -1.899330e-02
5947.970000   -1.909160e-02
5947.490000   -2.276520e-02
5947.010000   -2.235120e-02
5946.530000   -1.375210e-02
5946.040000   -1.314610e-02
5945.560000   -2.117130e-02
5945.080000   -1.840480e-02
5944.600000   -1.344520e-02
5944.110000   -1.562790e-02
5943.630000   -1.877180e-02
5943.150000   -2.019710e-02
5942.670000   -2.405480e-02
5942.190000   -2.405030e-02
5941.700000   -1.861690e-02
5941.220000   -1.347620e-02
5940.740000   -1.545930e-02
5940.260000   -1.934310e-02
5939.770000   -2.064840e-02
5939.290000   -2.152840e-02
5938.810000   -2.064630e-02
5938.330000   -2.155700e-02
5937.850000   -2.204410e-02
5937.360000   -2.133980e-02
5936.880000   -2.051730e-02
5936.400000   -1.951030e-02
5935.920000   -1.824880e-02
5935.440000   -1.463320e-02
5934.950000   -1.794790e-02
5934.470000   -2.128360e-02
5933.990000   -1.833100e-02
5933.510000   -1.851440e-02
5933.020000   -2.175670e-02
5932.540000   -1.973500e-02
5932.060000   -1.997500e-02
5931.580000   -2.287430e-02
5931.100000   -1.692650e-02
5930.610000   -1.531740e-02
5930.130000   -1.838270e-02
5929.650000   -1.500720e-02
5929.170000   -2.188840e-02
5928.680000   -2.228640e-02
5928.200000   -1.185750e-02
5927.720000   -1.239900e-02
5927.240000   -1.513820e-02
5926.760000   -1.264290e-02
5926.270000   -8.875080e-03
5925.790000   -1.117330e-02
5925.310000   -2.029770e-02
5924.830000   -2.575420e-02
5924.340000   -2.215710e-02
5923.860000   -1.440820e-02
5923.380000   -1.526420e-02
5922.900000   -1.676430e-02
5922.420000   -1.599050e-02
5921.930000   -1.784600e-02
5921.450000   -2.106730e-02
5920.970000   -2.086210e-02
5920.490000   -1.581120e-02
5920.000000   -1.705150e-02
5919.520000   -1.777720e-02
5919.040000   -1.770380e-02
5918.560000   -1.675060e-02
5918.080000   -1.893930e-02
5917.590000   -1.937590e-02
5917.110000   -1.703700e-02
5916.630000   -2.145930e-02
5916.150000   -2.073540e-02
5915.660000   -1.414620e-02
5915.180000   -1.545400e-02
5914.700000   -1.796870e-02
5914.220000   -1.692190e-02
5913.740000   -1.698480e-02
5913.250000   -2.010700e-02
5912.770000   -2.160230e-02
5912.290000   -2.194410e-02
5911.810000   -2.441010e-02
5911.320000   -2.589240e-02
